study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB8388	SAMEA3233730	ERX1886616	ERR1824213	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1824213/ERR1824213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1824213/ERR1824213_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1824213/BBX_AOSW_1_1_H32GMBCXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1824213/BBX_AOSW_1_2_H32GMBCXX.IND5_clean.fastq.gz	
PRJEB8388	SAMEA3233727	ERX1886617	ERR1824214	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/004/ERR1824214/ERR1824214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/004/ERR1824214/ERR1824214_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1824214/BBX_EOSW_1_1_H55MLBCXX.IND9_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1824214/BBX_EOSW_1_2_H55MLBCXX.IND9_clean.fastq.gz	
PRJEB8388	SAMEA3233727	ERX1886619	ERR1824215	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/005/ERR1824215/ERR1824215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/005/ERR1824215/ERR1824215_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1824215/BBX_EOSW_2_1_H32GLBCXX.IND9_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1824215/BBX_EOSW_2_2_H32GLBCXX.IND9_clean.fastq.gz	
PRJEB8388	SAMEA3233728	ERX1886620	ERR1824216	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/006/ERR1824216/ERR1824216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/006/ERR1824216/ERR1824216_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1824216/BBX_COSW_2_1_H57N7BCXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1824216/BBX_COSW_2_2_H57N7BCXX.IND7_clean.fastq.gz	
PRJEB8388	SAMEA3233727	ERX1886618	ERR1824217	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1824217/ERR1824217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1824217/ERR1824217_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1824217/BBX_EOSW_2_1_H55MLBCXX.IND9_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1824217/BBX_EOSW_2_2_H55MLBCXX.IND9_clean.fastq.gz	
PRJEB8388	SAMEA3233730	ERX1886622	ERR1824218	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1824218/ERR1824218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1824218/ERR1824218_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1824218/BBX_AOSW_2_1_H32GMBCXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1824218/BBX_AOSW_2_2_H32GMBCXX.IND5_clean.fastq.gz	
PRJEB8388	SAMEA3233730	ERX1886621	ERR1824219	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1824219/ERR1824219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1824219/ERR1824219_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1824219/BBX_AOSW_1_1_H57N7BCXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1824219/BBX_AOSW_1_2_H57N7BCXX.IND5_clean.fastq.gz	
PRJEB8388	SAMEA3233730	ERX697294	ERR753558	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753558/ERR753558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753558/ERR753558_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753558/BBX_AOSW_1_1_D1D53ACXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753558/BBX_AOSW_1_2_D1D53ACXX.IND5_clean.fastq.gz	
PRJEB8388	SAMEA3233727	ERX697292	ERR753559	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753559/ERR753559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753559/ERR753559_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753559/BBX_EOSW_3_1_D1D53ACXX.IND9_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753559/BBX_EOSW_3_2_D1D53ACXX.IND9_clean.fastq.gz	
PRJEB8388	SAMEA3233731	ERX697299	ERR753560	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753560/ERR753560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753560/ERR753560_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753560/BBX_BOSW_2_1_C1CRDACXX.IND6_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753560/BBX_BOSW_2_2_C1CRDACXX.IND6_clean.fastq.gz	
PRJEB8388	SAMEA3233728	ERX697297	ERR753561	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753561/ERR753561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753561/ERR753561_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753561/BBX_COSW_2_1_D1D53ACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753561/BBX_COSW_2_2_D1D53ACXX.IND7_clean.fastq.gz	
PRJEB8388	SAMEA3233729	ERX697295	ERR753562	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753562/ERR753562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753562/ERR753562_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753562/BBX_DOSW_3_1_C1CRDACXX.IND8_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753562/BBX_DOSW_3_2_C1CRDACXX.IND8_clean.fastq.gz	
PRJEB8388	SAMEA3233728	ERX697298	ERR753563	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753563/ERR753563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753563/ERR753563_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753563/BBX_COSW_1_1_H072TAMXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753563/BBX_COSW_1_2_H072TAMXX.IND7_clean.fastq.gz	
PRJEB8388	SAMEA3233728	ERX697296	ERR753564	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753564/ERR753564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753564/ERR753564_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753564/BBX_COSW_2_1_H072TAMXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753564/BBX_COSW_2_2_H072TAMXX.IND7_clean.fastq.gz	
PRJEB8388	SAMEA3233726	ERX697293	ERR753565	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753565/ERR753565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR753/ERR753565/ERR753565_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753565/BBX_FOSW_4_1_D1D53ACXX.IND10_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR753/ERR753565/BBX_FOSW_4_2_D1D53ACXX.IND10_clean.fastq.gz	
