study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA327502	SAMN05361915	SRX1932135	SRR3860149	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/009/SRR3860149/SRR3860149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/009/SRR3860149/SRR3860149_2.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932140	SRR3860174	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/004/SRR3860174/SRR3860174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/004/SRR3860174/SRR3860174_2.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932142	SRR3860182	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/002/SRR3860182/SRR3860182_consensus.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932143	SRR3860183	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/003/SRR3860183/SRR3860183_consensus.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932144	SRR3860184	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/004/SRR3860184/SRR3860184_consensus.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932149	SRR3860185	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/005/SRR3860185/SRR3860185_consensus.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932150	SRR3860207	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/007/SRR3860207/SRR3860207_consensus.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932156	SRR3860230	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/000/SRR3860230/SRR3860230_consensus.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932157	SRR3860242	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/002/SRR3860242/SRR3860242_consensus.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932162	SRR3860265	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/005/SRR3860265/SRR3860265_consensus.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932166	SRR3860289	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/009/SRR3860289/SRR3860289_subreads.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932170	SRR3860310	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/000/SRR3860310/SRR3860310_subreads.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932174	SRR3860329	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/009/SRR3860329/SRR3860329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/009/SRR3860329/SRR3860329_2.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932175	SRR3860335	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/005/SRR3860335/SRR3860335_subreads.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932181	SRR3860358	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/008/SRR3860358/SRR3860358_subreads.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932185	SRR3860382	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/002/SRR3860382/SRR3860382_subreads.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932190	SRR3860390	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/000/SRR3860390/SRR3860390_subreads.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932191	SRR3860406	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/006/SRR3860406/SRR3860406_subreads.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932195	SRR3860428	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/008/SRR3860428/SRR3860428_subreads.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932196	SRR3860429	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/009/SRR3860429/SRR3860429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/009/SRR3860429/SRR3860429_2.fastq.gz		
PRJNA327502	SAMN05361915	SRX1932197	SRR3860430	38942	Quercus robur	ftp.sra.ebi.ac.uk/vol1/fastq/SRR386/000/SRR3860430/SRR3860430_consensus.fastq.gz		
